"language","threads","workload","run_id","config_type","wall_time_s","cpu_pct","peak_rss_kb","phase","repeat"
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r5","p_base",0.830000,99,86592,2,5
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r6","p_base",0.830000,99,86600,2,6
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r7","p_base",0.830000,100,86608,2,7
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r8","p_base",0.830000,99,86596,2,8
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r9","p_base",0.820000,99,86608,2,9
"python",1,"parallel_sort","python_phase2_sort_p_base_p1_r10","p_base",0.830000,99,86548,2,10
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r1","p_best",0.470000,234,115544,2,1
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r2","p_best",0.460000,240,115672,2,2
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r3","p_best",0.460000,240,115020,2,3
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r4","p_best",0.460000,236,115240,2,4
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r5","p_best",0.460000,240,115908,2,5
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r6","p_best",0.460000,243,115108,2,6
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r7","p_best",0.470000,242,115828,2,7
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r8","p_best",0.470000,237,115340,2,8
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r9","p_best",0.460000,240,115860,2,9
"python",4,"parallel_sort","python_phase2_sort_p_best_p4_r10","p_best",0.460000,240,115248,2,10
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r1","p_base",6.510000,99,14408,2,1
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r2","p_base",6.440000,100,14552,2,2
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r3","p_base",6.380000,99,14416,2,3
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r4","p_base",6.370000,99,14544,2,4
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r5","p_base",6.420000,99,14508,2,5
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r6","p_base",6.510000,99,14356,2,6
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r7","p_base",6.480000,99,14552,2,7
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r8","p_base",6.440000,99,14364,2,8
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r9","p_base",6.410000,99,14396,2,9
"python",1,"producer_consumer","python_phase2_prod-cons_p_base_p1_r10","p_base",6.520000,99,14392,2,10
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r1","p_best",3.200000,186,14348,2,1
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r2","p_best",3.360000,181,14360,2,2
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r3","p_best",3.280000,184,14364,2,3
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r4","p_best",3.370000,181,14328,2,4
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r5","p_best",3.420000,179,14200,2,5
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r6","p_best",3.340000,182,14148,2,6
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r7","p_best",3.360000,182,14344,2,7
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r8","p_best",3.260000,186,14356,2,8
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r9","p_best",3.350000,182,14536,2,9
